lawyer_name,title,firm_name,location,lawyer_about,languages,practice_areas,years_experience,join_date,connected,source
Olivia Terziovski,Director   ,Boutique Lawyers ,"VIC, Australia "," ""Building Lawyers for Home Owners
We do one thing really well and thats represent Home Owners we offer Value Billing so you get certainty. 
""",English,,7,"November 12th, 2013",8,https:/lawpath.com.au/lawyer-network/lawyer-olivia-terziovski
Murray Thornhill,Director  ,HHG Legal Group,"WA, Australia",,English,,17,"July 30th, 2013",66,https:/lawpath.com.au/lawyer-network/lawyer-murray-thornhill
Andrew Taylor,Director  ,Toogoods Migration,"QLD, Worldwide, Australia",,English,,15,"September 11th, 2013",7,https:/lawpath.com.au/lawyer-network/lawyer-andrew-taylor--2
Peter Thelwell,Associate  ,Ivan Poole Lawyers,"QLD, Australia"," ""Peter Thelwell has been practising in Franchising and Intellectual Property Law for over four years. Peter is on the Queensland Law Society Franchising Committee and is a member of the Franchising Council of Australia.
Peter's experience extends to Trade Mark applications for Countries all over the world.

In addition to Franchising and Intellectual Property Law Peter is an immigration agent. """,English,,4,"February 25th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-peter-thelwell
Aaron Taranto,  ,The AT Group,"NSW, Australia",,English,,2,"February 19th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-aaron-taranto
Emily Yau,Director  ,WF Yau Lawyers,"QLD, Hong Kong,  Australia",,"English, Mandarin, Cantonese",,14,"October 2nd, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-emily-yau
Alex Tees,Principal Lawyer  ,SVC LEGAL AUSTRALIA,"NSW, Australia"," ""SVC Legal Australia is an Australian based law firm providing a wide range of legal services. Incorporated within our firm we have Syd Venture Capital a Migration and Business Consultancy firm.

We are highly respected within the legal and migration profession and are renowned for its high success rate, commitment and quality in providing cost effective and innovative solutions for clients.""","English, Mandarin",,20,"October 8th, 2014",45,https:/lawpath.com.au/lawyer-network/lawyer-alex-tees
James Yianoulatos,,,,,English,,,"February 6th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-james-yianoulatos
Nicholas Yau,Lawyer  ,WF Yau Lawyers,"QLD, Australia",,"English, Mandarin, Cantonese, Other",,,"October 2nd, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-nicholas-yau
Kym Yeomans,Accountant  ,DC Balog & Associates,"NSW, Australia",,English,,,"December 3rd, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-kym-yeomans
Drew Woods,Partner  ,Ross & Daniels Lawyers,"VIC, Australia"," ""Principal Lawyer and co-founder of Ross & Daniels Lawyers. 

A small commercial law firm practicing in the areas of litigation, insolvency, commercial and property law. Our focus is assisting small business owners from start-up to managing all aspects of their currently trading business through to establishing and finalising a succession plan or sale. We also assist business owners in their own personal capacity through estate planning, asset protection and property transactions.""",English,,10,"March 28th, 2013",30,https:/lawpath.com.au/lawyer-network/lawyer-drew-woods
Russell Wiese,Partner  ,Hunt & Hunt Lawyers,"VIC, Australia"," ""Russell is a commercial lawyer with a strong focus on customs and global trade.  

Russell assists importers, exporters, customs brokers and freight forwarders with issues involving Australian Customs, commercial agreements relating to international trade and resolving dispute between different parties in international supply chains.""",English,,10,"September 26th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-russell-wiese
Yunfei Wu,Solicitor  ,WU,"VIC, Australia,  China",,English,,3,"June 18th, 2013",17,https:/lawpath.com.au/lawyer-network/lawyer-yunfei-wu
Morgan Tanswell,Solicitor  ,MacGregor O'Reilly,"QLD, Australia"," ""MacGregor O'Reilly Solicitors is a boutique law firm situated in Surfers Paradise, Queensland.  I personally specialise in employee relations, commercial disputes and wills and estates.  Our other lawyers deal with family law, property law, commercial litigation and finance law.  """,English,,2,"September 25th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-morgan-tanswell
Greg Smith,Partner  ,Smith's Lawyers,"QLD, Australia"," ""Smith's Lawyers are a QLD personal injury law firm offering a unique No Win. No Fee. No Catch.™ promise. With most 'No Win, No Fee' lawyers you may have to pay the other sides costs if you go to court and lose. With Smith's Lawyers there is no catch and you will never be left out of pocket.""",English,,19,"March 6th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-greg-smith
Jeremy Williams,Partner  ,Taylor and Preston,"VIC, Australia",,English,,5,"June 14th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-jeremy-williams
Madeleine Smith,Criminal Solicitor  ,Taylor & Preston Lawyers,"VIC, Australia",,English,,5,"August 13th, 2013",12,https:/lawpath.com.au/lawyer-network/lawyer-madeleine-smith
Richard Smallwood,Principal  ,Smallwoods Lawyers,"NSW, Australia",,English,,,"March 14th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-richard-smallwood
Michael Smith,Principal Solicitor  ,Smiths Commercial Law,"NSW, Australia",,English,,"22,1991","December 3rd, 2013",15,https:/lawpath.com.au/lawyer-network/lawyer-michael-smith
Brett Slater,Principal  ,Brett Slater Solicitors,"NSW, Australia",,English,,20,"September 26th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-brett-slater
Colin Sloan,Director  ,Sloan Law Pty Limited,"NSW, Australia",,English,,17,"July 18th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-colin-sloan
Janine Zylstra,Director  ,Brand Boutique Lawyers,"NSW, Australia",,English,,,"February 20th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-janine-zylstra
Chiho Yoshikoshi,Principal Lawyer  ,Yoshikoshi & Associates Immigration Specialists,"VIC, Australia",,English,,9,"July 25th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-chiho-yoshikoshi
Steven Taleski,Principal  ,NV Lawyers,"NSW, Australia"," ""NV Lawyers has a proven track record in debt recovery, corporate insolvency and bankruptcy.  We adopt a cost effective and pragmatic approach.  """,English,,12,"April 23rd, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-steven-taleski
Sean Talty,Principal Solicitor  ,Talty Law,"NSW, Australia",,English,,,"July 11th, 2014",12,https:/lawpath.com.au/lawyer-network/lawyer-sean-talty--2
Seamus Taaffe,Founder/Principal  ,Australia Here We Come Pty Ltd,"VIC, Australia (While based in Melbourne we are a national firm with clients Australiawide)",,English,,5,"September 12th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-seamus-taaffe
Virma Symons,Principal  ,Symons and Co Legal,"WA, Australia",,English,,15,"August 27th, 2013",6,https:/lawpath.com.au/lawyer-network/lawyer-virma-symons
Ian Tait,Owner  ,Tait & Co,"WA, Australia",,English,,30,"September 18th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-ian-tait
Tracy Sweeny,Principal  ,Sweeny Legal IP & Commercial,"NSW, Australia,  UK,  US,  Asia,  New Zealand,  Europe"," ""We are a highly technical and creative niche boutique legal practice, providing Intellectual Property legal services, Media and Entertainment legal services, Brandsworth Licensing legal services, Innovation & Commercial legal services located in Wollongong. We specialise in intellectual property law and licensing a brands worth. A brand is the most valuable business asset. Brandsworth licensing is the perfect business tool for licensing or assigning intellectual property of all types. """,English,,21,"May 13th, 2014",4,https:/lawpath.com.au/lawyer-network/lawyer-tracy-sweeny
Rohan Wallace,Principal  ,Rohan Wallace Patent and Trademark Services,"WA, Australia",,English,,17,"June 17th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-rohan-wallace
Wendy Wan,Law Clerk; Registered Migration Agent  ,York & York Legal,"VIC, Australia",,"English, Mandarin",,,"March 14th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-wendy-wan
Judy Swan,Special Counsel  ,KWS Legal,"NSW, South Africa,  New Zealand and Australia"," ""With a Bachelor of Arts (Honours) in Psychology and a Bachelor of Laws, my main interest is to assist people, companies and families in distress. Currently my main field of specialty is Employment Law, Family Law and Insolvency although I worked as a criminal lawyer and a commercial litigator previously.
""","English, German, Other",,27,"June 11th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-judy-swan
Melissa Vincenty,Senior Lawyer  ,Nevett Ford Lawyers,"NSW, U.S.,  Australian Foreign Registered Lawyer",,"Mandarin, German",,15,"August 12th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-melissa-vincenty
Laura Vickers,Principal  ,Nest Legal,"VIC, Australia"," ""Laura is the details queen.  Her clients know that their documents are in safe hands with her freakish memory and attention to the fine print.  They love her clear advice and her relentless enthusiasm for fixing their problems.  Her firm Nest Legal is designed for busy people, offering legal advice after hours via Skype, email and telephone.  """,English,,6,"May 13th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-laura-vickers
Gavin Viljoen,Principal  ,Viljoen Comino Solicitors,"NSW, Australia",,"English, Other",,20,"February 16th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-gavin-viljoen
John Walker,Principal  ,Walker Legal and Conveyancing Taree,"NSW, Australia"," ""We are a small tight and committed team of legal professionals who pride ourselves on our ability to communicate with our clients and achieve good timely and efficient results. We do not do everything but what we do we do well.""","English, Other",,18,"August 5th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-john-walker
Andrea Tsalamandris,Partner  ,Adviceline Injury Lawyers,"VIC, Australia",,English,,19,"July 31st, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-andrea-tsalamandris--2
Mai Truong,Principal Solicitor  ,Mai Lawyers,"NSW, Australia",,English,,,"January 7th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-mai-truong
Loren Suntup,Director & Notary Public  ,Morrigan Legal,"NSW, Australia"," ""Notary Public and Corporate Lawyer""","English, Other",,10,"February 12th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-loren-suntup
Fiona Townend,Solicitor   ,Dettmann Longworth Lawyers ,"NSW, Australia ",,English,,18,"July 3rd, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-fiona-townend
Marcel Vaarzon Morel,Principal  ,Vaarzon-Morel Solicitors,"NSW, Australia and International "," ""Marcel and the Maritime and Commercial team strive to provide tailored legal solutions in a timely manner. As a boutique firm we are flexible ensuring our services best accommodates your needs. This flexibility, along with our unique blend of business and boating expertise, means that you will be getting a specialised and professional legal solution, without the irritation and expense of dealing with a large firms.""",English,,10,"August 20th, 2013",41,https:/lawpath.com.au/lawyer-network/lawyer-marcel-vaarzon-morel
Danielle Torresan,Principal  ,Torresan Legal,"NSW, Australia",,English,,13,"July 11th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-danielle-torresan
Chris Toogood,Legal Director  ,Essen Lawyers Pty Ltd,"QLD, Australia",,"English, Vietnamese",,,"April 21st, 2014",3,https:/lawpath.com.au/lawyer-network/lawyer-chris-toogood
Terry Tomlin,Director Solicitor  ,Plus Law Pty Ltd,"NSW, Australia",,English,,12,"July 8th, 2014",11,https:/lawpath.com.au/lawyer-network/lawyer-terry-tomlin
Kim Todd,Principal Solicitor  ,Todd Legal,"NSW, Australia",,English,,,"July 13th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-kim-todd
Andrea Tomic,Principal Solicitor  ,Eckert Legal,"NSW, Australia",,"English, Cantonese, Spanish, Other",,,"September 24th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-andrea-tomic
Tom Sawyer,  ,Barrister,"VIC, Australia,  Victoria",,English,,"10,18","June 17th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-tom-sawyer
Luke Scandrett,Solicitor  ,Emil Ford Lawyers,"NSW, Australia",,English,,3,"August 27th, 2013",3,https:/lawpath.com.au/lawyer-network/lawyer-luke-scandrett
Phillip Tiernan,Director  ,Tiernan Lawyers,"NSW, Australia",,English,,15,"July 31st, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-phillip-tiernan
Mahrukh Mundul,  ,Fragomen,"NSW, Australia",,English,,,"May 16th, 2013",5,https:/lawpath.com.au/lawyer-network/lawyer-mahrukh-mundul
Robert Saunders,Principal  ,Robert Saunders & Associates,"SA, Australia",,English,,,"September 16th, 2013",30,https:/lawpath.com.au/lawyer-network/lawyer-robert-saunders
Gibson Owen,Principal  ,Lawfully,"NSW, Australia"," ""Trade marks are the essence of all business and if the great names ceased to be owned the related business would disappear. How do you grow with out a name and the associated goodwill and reputation. An unregistered name as a trade mark is unprotected. Are you looking for international business. How would an international client find you if unregistered.""",English,,25,"December 8th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-gibson-owen
Damin Murdock,Principal Lawyer  ,MurdockCheng Legal Practice,"NSW, Australia"," ""I'm the Principal Lawyer of MurdockCheng Legal Practice. MCLP is a multi-disciplinary commercial law firm situated in the Sydney CBD. We act for individuals, start-ups, SMEs and publicly listed companies. 

All consultations are at no cost to you and we endeavour to provide fixed fee prices where possible.""",English,,,"September 9th, 2013",36,https:/lawpath.com.au/lawyer-network/lawyer-damin-murdock
Melanie Mullins,Solicitor  ,NQ Legal,"QLD, Australia",,English,,6,"June 12th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-melanie-mullins
Marie Christine Oliver,Director  ,Astra Legal,"QLD, Australia",,,,,"March 11th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-marie-christine-oliver
Adewale Oladejo,Principal  ,Visatec Legal ,"VIC, Australia"," ""Visatec Legal is a leading immigration law firm based in Melbourne.

Areas of expertise include:

> Employer sponsored visa (including 457, 186 & 187 visas)
> Partner visas (including fiance, defacto and married partners
>Student Visas and Graduate Visas
>General skilled migration (including EOI) for skilled independent (189) and State sponsored (489 and 190)
> MRT and Judicial appeals
> Visa refusals and cancellations
>Australian Citizenship 
>Migration consultancy services""","English, Mandarin, Vietnamese",,14,"February 1st, 2014",13,https:/lawpath.com.au/lawyer-network/lawyer-adewale-oladejo
Mark Northam,Principal Consultant  ,Northam & Associates,"NSW, Australia,  New Zealand",,English,,3,"September 13th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-mark-northam
Tom O'brien,Principal Lawyer & Owner  ,O'Brien Law,"VIC, Australia",,English,,,"November 17th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-tom-o-brien
Tash Nolan,Senior Associate  ,Tiernan Lawyers,"NSW, Australia",,English,,4,"July 30th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-tash-nolan
Sharon Payne,Principal  ,Sharon Payne Family Lawyers,"NSW, Australia",,English,,10,"March 27th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-sharon-payne
Lana Paxman,  ,Paxman and Paxman,"WA, Australia",,English,,,"January 25th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-lana-paxman--2
Melanie Noble,Director  ,Switch Legal,"VIC, Australia",,English,,,"April 24th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-melanie-noble
Anna Parker,Partner  ,Nicholes Family Lawyers,"VIC, Australia",,English,,,"May 7th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-anna-parker
Gorica Panich,Principal  ,Codex Legal,"SA, Australia",,English,,4,"September 19th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-gorica-panich
Andrea Pane,  ,Robert James Lawyers,"VIC, Australia",,English,,21,"February 20th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-andrea-pane
Sheetal Pandhi,Asdfdfgfg  ,Harb Amir,"VIC, Australia",,English,,,"July 25th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-sheetal-pandhi
Karen Pearson,Lawyer  ,Advantage Partnership Lawyers,"NSW, Australia",,"English, Other",,,"February 4th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-karen-pearson
Stephen Page,Partner  ,Harrington Family Lawyers,"QLD, Australia",,English,,25,"July 24th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-stephen-page
Kristian Larocca,Paralegal  ,Taylor & Preston Lawyers,"VIC, Australia",,English,,,"August 28th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-kristian-larocca
Jade Lattimore,Director  ,Greenstone Legal,"WA, Australia",,English,,,"August 26th, 2014",4,https:/lawpath.com.au/lawyer-network/lawyer-jade-lattimore--2
Greg Lane,Principal  ,Gill & Lane Solicitors,"QLD, Australia",,English,,33,"September 17th, 2013",8,https:/lawpath.com.au/lawyer-network/lawyer-greg-lane
Brett Saunders,Principal  ,Saunders & Saunders Legal,"NSW, Australia,  China",,English,,15,"September 3rd, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-brett-saunders
Darryl Richards,Director  ,Certus Legal Group,"QLD, Australia"," ""Certus Legal Group is a Commercial and Property Law firm with 4 distinct divisions.  Certus Conveyancing, Certus Property Lawyers, Certus Commercial Lawyers & Certus Wills and Estates.
We have one of the largest and fastest growing conveyancing practices in Queensland.  Our property lawyers are experts in property development law from 2 units to 2000 lots.""","English, Mandarin",,10,"August 3rd, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-darryl-richards
Samuel Rees,Solicitor  ,Ivan Poole Lawyers,"QLD, Australia"," ""Samuel Rees specialises in Franchising Law and Intellectual Property.
Samuel is also experienced in drafting and reviewing Licence Agreements, Franchise Agreements and Distribution Agreements. He also practices in general Commercial law matters such as merges and acquisitions, leases and corporate structuring and structuring advice.
Please do not hesitate to contact Samuel on 07) 5591 2522.""",English,,,"February 25th, 2014",4,https:/lawpath.com.au/lawyer-network/lawyer-samuel-rees
Kam Razmara,Director  ,York & York Legal,"VIC, Au (and in the past UK and E, Australia"," ""We offer legal services to SMEs (from acquisitions and sales of businesses to contracts, leasing, employment and other day to day legal issues) both locally, nationally and internationally.  Whilst we must be profitable to stay in business, we are not in business just to make money.  We strive to build a sustainable business with satisfied clients.  ""","English, Mandarin",,14,"March 14th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-kam-razmara
Megan Puszkar,Principal Lawyer  ,Macedon Ranges Family Law,"VIC, Australia",,English,,"7,8","July 26th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-megan-puszkar
Byron Pugh,Director Lawyer  ,AVP Brisbane,"QLD, Australia",,English,,,"February 14th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-byron-pugh
Roshan Punwani,,,,,English,,,"May 8th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-roshan-punwani
Danielle Quinn,Sole Practitioner  ,Danielle Quinn,"NSW, Australia"," ""We have expertise in the following areas
•Wills & Probate and Estate Administration including Family Provision and Disputes
•Criminal
•Family
•Traffic
•Drink Driving
•Conveyancing
•Power of Attorney & Enduring guardianship
•Civil litigation for Debt recovery
•Mortgage refinance / Guarantor loans

We provide the following services:
•Provide you with a high standard of legal services 
•Listen to you carefully and understand your needs 
•Establish a close working relationship with""","English, Greek",,6,"April 29th, 2014",104,https:/lawpath.com.au/lawyer-network/lawyer-danielle-quinn
Talie Ryan,"Director, Legal  ",Virtual Law Office,"NSW, Australia"," ""Virtual Law office provides modern client-friendly legal services using: 
 	
LEGAL knowledge and experience 

+ TECHNOLOGY to save time and money 

+ COMMERCIAL GOALS balanced with legal risk. 

Our specialties include law for start-ups, on-going businesses and businesses in the technology sector.
""","English, French",,10,"February 13th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-talie-ryan
Nadav Prawer,Lawyer  ,KWS Legal,"VIC, Australia",,"English, Other",,,"June 11th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-nadav-prawer
Warren Rosen,Principal  ,Rosen Lawyers,"QLD, Australia",,English,,,"April 28th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-warren-rosen
Matthew Rouse,Managing Partner  ,Rouse Lawyers,"QLD, Australia (QLD & NSW)",,English,,10,"October 1st, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-matthew-rouse
Nicholas Milne,Firm Manager  ,Baxter IP Patent and Trademark Attorneys,"NSW, Australia",,English,,,"April 30th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-nicholas-milne
Jonathen Rosen,Principal Lawyer  ,DMWR Partners,"VIC, Australia"," ""DMWR Partners
Lawyers & Advisors

""",English,,10,"November 3rd, 2013",10,https:/lawpath.com.au/lawyer-network/lawyer-jonathen-rosen
Alex Ronayne,Solicitor Director  ,Ronayne Owens Lawyers,"NSW, Australia",,English,,,"March 6th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-alex-ronayne
Jason Marcus,Senior Associate   ,Thomsons Lawyers,"NSW, Australia "," ""I am a Senior Associate in the Thomsons Lawyers Sydney Corporate team.

My experience is in a wide range of corporate and commercial transactions, including; mergers, acquisitions, divestments, capital raisings, initial public offerings, takeovers, schemes of arrangement and commercial due diligence.""",English,,10,"February 6th, 2014",3,https:/lawpath.com.au/lawyer-network/lawyer-jason-marcus
Kristi Mc Cusker,Principal  ,Kenny Spring Solicitors,"NSW, Australia",,English,,11,"April 4th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-kristi-mccusker
Terry Mc Cowan,Lawyer  ,Legal Wisdom,"NSW, Australia",,,,,"February 25th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-terry-mccowan
Fiona Mc Cord,Principal  ,Base Legal,"VIC, Australia"," ""I am a sole practitioner operating under the name Base Legal.  Base Legal offers specialised and tailored legal advice, assistance and representation to small and medium businesses.  I provide practical, down to earth advice and assistance at an affordable price.  

I have a breadth of knowledge across commercial law, corporate governance, litigation, criminal  law, insolvency, financial services, and regulation.   I believe in providing uncomplicated and practical assistance.""",English,,8,"July 11th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-fiona-mccord
Dion Mccaffrie,Partner  ,Andersons Solicitors,"SA, Australia",,English,,35,"June 26th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-dion-mccaffrie
Lisa Maynard,Special Counsel  ,Adviceline Injury Lawyers,"VIC, Australia",,English,,13,"August 1st, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-lisa-maynard
Karen Mathie,  ,Fragomen,"NSW, Australia",,English,,,"May 16th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-karen-mathie
Lee Mc Callum,Principal   ,LMK lawyers,"QLD, Australia",,English,,,"November 8th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-lee-mccallum
Pat Marciano,Solicitor  ,Marciano Lawyers,"SA, Australia ",,English,,8,"March 4th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-pat-marciano
Tara Mathey,Partner  ,Mathey Solicitors,"NSW, Australia",,English,,,"August 7th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-tara-mathey
Darlington Makura,Lawyer  ,Exodus Lawyers,"NSW, Australia",,"English, Other",,,"August 29th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-darlington-makura
Emma Mackey,Director  ,Mackey Lawyers Pty Ltd,"VIC, Australia",,,,,"February 10th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-emma-mackey
Melanie Macfarlane,Ceo & Principal Migration Consultant  ,MMMigration,"NSW, Australia",,English,,10,"September 18th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-melanie-macfarlane
Gerald Manoharan,Partner  ,J. Sagar Associates,"INDIA, India, Australia",,English,,,"May 16th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-gerald-manoharan
Chris Mills,Solicitor  ,Neumann & Turnour,"QLD, Australia"," ""Chris Mills is a Solicitor in Neumann & Turnour’s Litigation division. He has wide-ranging experience in the Queensland courts and tribunals, as well as the federal Administrative Appeals Tribunal. Chris is a tenacious advocate and an innovative problem-solver, bringing a fresh approach and unique strategies to difficult situations.""",English,,,"August 26th, 2014",9,https:/lawpath.com.au/lawyer-network/lawyer-chris-mills
Lawrence Luke Lau,Principal  ,L&A Lau Partnership,"NSW, international paralegal, Australia",,English,,10,"April 7th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-lawrence-luke-lau
Lian Mabee,Senior Associate  ,KWS Legal,"NSW, Australia"," ""Lian is a senior lawyer with a range of experience in Corporate law, Business and Trust Structuring including investments involving Superannuation funds, Commercial litigation, Employment law, Business succession, Wills and Probate law. Prior to her time at KWS Legal, Lian worked as a lawyer specialising in Commercial Litigation and Commercial law at the boutique commercial city firm Atanaskovic Hartnell and also as an in-house legal executive at the aircraft leasing firm AWAS.""",English,,7,"June 11th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-lian-mabee
Paul Miller,Partner  ,Deutsch Miller,"NSW, Australia"," ""Paul has gained significant experience as a corporate/commercial partner working in both London and Sydney.
Paul specialisations include mergers and acquisitions , capital raisings, flotations, venture capital/private equity, MBOs/MBIs, shareholders agreements/joint ventures, inbound investment, restructuring, Employee Share Plans, corporate governance and commercial contracts.
Paul has extensive experience in advising technology companies and companies in the online space.""",English,,19,"May 16th, 2013",25,https:/lawpath.com.au/lawyer-network/lawyer-paul-miller
Brad Mifsud,Director  ,Charter Conveyancing,"QLD, Australia",,"English, Mandarin, Cantonese, Other",,,"May 6th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-brad-mifsud
Peter Mecoles,Principal  ,Patrick Cash & Associates,"VIC, Australia"," ""I give sound advice, prompt attention and always return calls and emails!""",English,,46,"September 19th, 2013",24,https:/lawpath.com.au/lawyer-network/lawyer-peter-mecoles
Jed Mc Namara,Partner  ,Sykes Pearson Miller Lawyers ( SPM Law),"QLD, Australia"," ""Jed McNamara's chosen areas of specialty are litigation, family law and personal injury law.""",English,,20,"September 23rd, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-jed-mcnamara
Tim Mc Donald,Principal  ,McDonald Lawyers,"VIC, Australia",,English,,20,"November 18th, 2013",12,https:/lawpath.com.au/lawyer-network/lawyer-tim-mcdonald
Anne Mc Donald,Principal  ,Anne McDonald & Associates,"NSW, Australia"," ""We provide expert legal advice and value for money.  With over 12 years experience in a CBD law firm in Sydney, we provide city experience without the city prices""",English,,14,"August 20th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-anne-mcdonald
Suzanne Roberts,Director  ,Informed Conveyancing Lawyers,"QLD, Australia",,English,,,"May 16th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-suzanne-roberts
Phillip Roberts,Principal   ,PCR Law & Associates ,"NSW, Australia",,"English, French, Vietnamese",,,"May 30th, 2014",5,https:/lawpath.com.au/lawyer-network/lawyer-phillip-roberts
Patrick Lott,Barrister  ,Selborne Chambers,"NSW, Australia",,English,,,"November 6th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-patrick-lott
"Robert Lombardi, Llm",Principal  ,"ROBERT LOMBARDI, LLM","WA, Australia",,,,,"May 7th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-robert-lombardi-llm
Sarah Lock,Principal  ,Workplace Law Specialists,"VIC, Australia",,English,,15,"February 11th, 2014",30,https:/lawpath.com.au/lawyer-network/lawyer-sarah-lock
Catherine Logan,Partner   ,Hunt & Hunt,"NSW, Australia "," ""A solid background in corporate and commercial law spanning more than 25 years provides Catherine with an efficient yet detailed approach that focuses on avoiding unwanted publicity and litigation for her very satisfied clients.
 Jointly heading our Sydney Commercial and Property Group, Catherine’s key areas are intellectual property (IP), corporate advisory, contracts, ecommerce, competition and consumer law, leases and licensing. Her clients vary, ranging from listed and unlisted public companies, global companies, family businesses, partnerships and joint ventures, to government and non-government, sporting, charitable and non-profit organisations. 

""",English,,25,"May 21st, 2014",5,https:/lawpath.com.au/lawyer-network/lawyer-catherine-logan
Ben Lehman,Owner  ,Ben Lehman,"VIC, Australia",,English,,16,"July 23rd, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-ben-lehman--2
Jules Lewin,Sole Director   ,Charthill Legal,"WA, South Africa and Australia "," ""We are a boutique suburban law firm providing solution based practical advise at reasonable rates ""","English, Other",,35,"January 28th, 2014",4,https:/lawpath.com.au/lawyer-network/lawyer-jules-lewin
Merran Loewenthal,Sole Practitioner  ,"Merran Loewenthal, LL.B.","Austria,  as English and NSW solicitor",,English,,40,"June 11th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-merran-loewenthal
